Student_Type,CGPA_Degree_Marks,10th_Marks,12th_Minor_Degree_Marks,Technical_Aptitude_Score,Communication_Score,Internship_Count,Relevant_Experience_Months,Quality_Score,Projects_Completed,Certifications,Branch_Specialization,Placement_Package_LPA
Regular,8.2,88,92,85,9,2,6,4.0,3,1,CS,14
Diploma,7.8,80,85,82,7,1,8,4.5,2,2,MECH,10
Regular,9.1,95,94,90,8,2,4,3.0,4,2,AIML,18
Regular,7.7,83,88,78,6,0,2,1.0,2,0,EC,8
Diploma,8.0,75,82,80,7,1,12,6.5,1,1,EE,9
Regular,8.6,90,95,89,8,2,2,2.0,3,2,IS,15
Regular,7.9,81,87,80,7,1,9,5.0,2,1,CIVIL,8
Diploma,8.4,82,88,85,8,2,12,7.0,2,1,BT,12
Regular,8.8,92,96,91,9,3,5,4.0,4,2,CS,17
Regular,7.5,78,82,75,6,0,1,0.5,1,0,MECH,7
Regular,8.3,89,91,84,8,2,7,4.5,3,1,AIML,13
Diploma,8.1,79,86,80,7,1,6,3.5,2,0,MECH,10
Regular,8.7,91,95,90,9,1,8,4.5,4,2,IS,15
Regular,7.6,78,81,74,6,0,2,1.0,1,0,CS,7
Diploma,8.5,85,90,88,8,2,10,6.0,3,1,BT,13
Regular,7.8,82,85,77,7,0,1,0.5,2,0,EE,8
Regular,8.3,88,91,83,8,1,3,2.0,3,1,AIML,12
Diploma,7.7,79,84,80,6,1,8,4.5,2,0,MECH,9
Regular,8.1,85,89,82,7,1,2,1.5,2,1,CS,11
Regular,8.9,94,97,93,10,3,9,6.0,4,2,IS,17
Diploma,8.0,80,85,81,7,1,7,4.0,2,0,CIVIL,10
Regular,7.9,82,86,78,7,0,3,1.5,2,1,CS,9
Regular,8.5,90,93,85,9,2,6,4.0,4,2,AIML,14
Diploma,8.2,83,88,84,7,1,9,5.0,3,1,EC,11
Regular,7.7,79,82,75,6,0,1,0.5,1,0,MECH,7
Regular,8.4,86,90,83,8,1,4,2.5,3,1,CS,13
Diploma,8.1,80,85,82,7,2,11,6.5,2,2,IS,10
Regular,8.0,84,88,80,7,1,5,3.0,2,1,CS,10
Regular,8.6,91,95,89,9,3,12,7.5,4,2,AIML,16
Diploma,8.3,83,88,85,8,2,10,6.0,2,1,BT,12
Regular,7.8,80,83,76,7,0,1,0.5,2,0,EE,8
Regular,9.0,95,96,92,10,3,7,5.0,4,2,CS,18
Diploma,8.4,84,89,87,8,2,12,7.0,3,1,EC,13
Regular,7.5,78,80,73,6,0,2,1.0,1,0,MECH,7
Diploma,7.8,79,84,80,6,1,6,3.5,2,0,CS,9
Regular,8.3,88,91,84,8,1,5,3.0,3,1,IS,12
Regular,8.0,82,87,79,7,0,3,1.5,2,1,CIVIL,9
Diploma,8.2,81,86,82,7,1,8,4.5,2,0,MECH,10
Regular,8.7,91,95,90,9,2,6,4.0,4,2,AIML,15
Regular,7.6,78,81,74,6,0,2,1.0,1,0,CS,7
Diploma,8.5,85,90,88,8,2,10,6.0,3,1,BT,13
Regular,7.8,82,85,77,7,0,1,0.5,2,0,EE,8
Regular,8.3,88,91,83,8,1,4,2.5,3,1,AIML,12
Diploma,7.7,79,84,80,6,1,7,4.0,2,0,IS,9
Regular,8.1,85,89,82,7,1,2,1.5,2,1,CS,11
Regular,8.9,94,97,93,10,3,10,6.5,4,2,IS,17
Diploma,8.0,80,85,81,7,1,8,4.5,2,0,CIVIL,10
Regular,7.9,82,86,78,7,0,4,2.0,2,1,CS,9
Regular,8.5,90,93,85,9,2,7,4.5,4,2,AIML,14
Diploma,8.2,83,88,84,7,1,9,5.0,3,1,EC,11
Regular,7.7,79,82,75,6,0,2,1.0,1,0,MECH,7
Regular,8.4,86,90,83,8,1,5,3.0,3,1,CS,13
Diploma,8.1,80,85,82,7,2,11,6.5,2,2,IS,10
Regular,8.0,84,88,80,7,1,5,3.0,2,1,CS,10
Regular,8.6,91,95,89,9,3,12,7.5,4,2,AIML,16
... more rows up to 840 ...
